	Col0_AWF_NT_R4	Col0_AWF_NT_R5	Col0_AWF_NT_R6	Col0_CL_R1	Col0_CL_R2	Col0_CL_R3	Col0_CL_ribo_R1	Col0_CL_ribo_R2	Col0_CL_ribo_R3	Col0_LSW_R1	Col0_LSW_R2	Col0_LSW_R3
AT5G33384	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33385	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33386	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33387	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33388	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33389	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33390	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33391	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33392	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33393	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33395	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33398	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33399	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33400	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33402	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33404	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33405	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33406	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33410	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33415	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33420	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33421	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33422	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33424	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33427	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33428	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33431	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33432	0	0	0	0	0	0	0	0	0	0	0	0
AT5G33433	0	0	0	0	0	0	0	0	0	0	0	0
